Year,Copies_Sold_Million,Revenue_INR_Crore,Source,Remarks
2013,29,,Take-Two Reports / Public Milestones,Initial Launch (PS3 & Xbox 360)
2014,45,,Take-Two Reports / Public Milestones,PS4 & Xbox One Release
2015,54,,Take-Two Reports / Public Milestones,PC Release
2016,65,,Take-Two Reports / Public Milestones,GTA Online Growth
2017,75,,Take-Two Reports / Public Milestones,Continued Sales Growth
2018,100,,Take-Two Reports / Public Milestones,Reached 100 Million Copies Sold
2019,115,,Take-Two Reports / Public Milestones,Strong Market Performance
2020,140,,Take-Two Reports / Public Milestones,Pandemic Sales Surge
2021,155,,Take-Two Reports / Public Milestones,Continued GTA Online Popularity
2022,170,,Take-Two Reports / Public Milestones,Steady Annual Growth
2023,190,,Take-Two Reports / Public Milestones,GTA VI Trailer Announcement Boost
2024,205,,Take-Two Reports / Public Milestones,Strong Lifetime Sales
2025,215,,Take-Two Reports / Public Milestones,Latest Public Sales Milestone